,project_recipe,project_name,glass_bottle,other_plastic,drink_can,project_img,paper_cup,plastic_bottle_cap,disposable_plastic_cup,plastic_film,broken_glass,other_plastic_wrapper,styrofoam,plastic_bottle,metal_bottle_cap,pop_tab,carton,plastic_straw,plastic_lid,aluminium_foil,single_use_carrier_bag,normal_paper,project_materials,Document ID
0,"1.Take a cardboard box and wrap it with paper.
2.Cut out a rectangle in front and a flap at the back.
3.Cut out 2 circles on each side of the size of the cardboard roll.
4.Paint the cardboard rolls and let it dry.
5.Fit in the cardboard rolls in the circles yoursquo'd cut out.
6.Paste your pictures on the rolls, for the picture play.
",Cardboard box picture,0,0,0,https://storage.googleapis.com/diy-image-bucket/Cardboard%20Box%20Picture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1.Cardboard box
2.Cardboard roll
3.Coloured paper
4.Colours
5.Scale
6.Scissors
7.Glue
8.Photos",3zqMWTHhpd2RbPWXh9jY
1,"1.Choose a fabric that will serve as the base for your apron.
2.Use an existing apron as a guide to cut out your fabric base. If you don't have an apron, freehand the design.
3.Arrange the crisp packets on the fabric base, overlapping each packet by 1 cm at the edges.
4.Play with the layout to ensure a pleasing mix of colors and designs.
5.Once you’re happy with the arrangement, sellotape the top edges of the crisp packets to the fabric base.
6.Increase the stitch length to prevent tearing the crisp packets.
7.Test on a spare crisp packet with a scrap piece of fabric to perfect the tension.
8.If packets are prone to ripping, reinforce their backs with masking or gaffa tape.
9.Start sewing the first layer of crisp packets to the fabric base.
10.Lay out the next layer, ensuring alignment
11.Use tailor’s chalk to mark straight guidelines if needed.
12.Sew each additional layer until all packets are attached.
13.Flip the apron to the fabric side and stitch all around the edges to secure the packets firmly.
14.Trim any excess crisp packet material to match the size of the fabric base.
15.Pin or clip the bias binding around the entire edge of the apron.
16.Sew the binding in place, tucking the crisp packets and fabric edges neatly inside.
17.Cut 22″ strips of fabric tape for the neck tie and each waist tie.
18.Insert the ends of the ties under the bias binding at the appropriate locations
19.One tie at the top corners for the neck
20.Two ties at the waist.
21.Secure them by stitching as you sew the bias binding.
22.Inspect the apron for any loose edges or gaps in stitching.
23.Trim any stray threads.
24.Wipe the surface clean and admire your quirky, upcycled apron!
",Crips Packet Apron,0,1,0,https://storage.googleapis.com/diy-image-bucket/Crips%20Packet%20Apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.35-40 different crisp packets
2.A piece of fabric (for the base)
3.3 meters of bias binding
4.1.5 meters of fabric tape (for ties)
5.Sellotape
6.Sewing machine and thread
7.Tailor’s chalk
8.Clover clips, pins or hair slides
9.Scissors
",56waXtEr326dWHPSshHE
2,"1.Start by taping off your pattern – try stripes, and angle, or whatever you like.
2.Apply a coat of FolkArt Outdoor Acrylic Paint and let dry completely.
3.Once dry, carefully remove the tape.
4.Time to turn this tube into a bird feeder! Use a permanent marker to mark a line as wide as your popsicle stick onto one side of the tube. It’s best to keep this to the bottom of the bird feeder since it will be gravity fed. Use the craft knife and precision scissors to cut out that slit and make sure the popsicle stick fits through. Then mark a line directly across from this first one so that the popsicle stick will stick out from each side of the tube.
5.Cut a short triangle above the slit – this will let the bird seed very slowly pour onto the popsicle sticks for the birds to eat and peck at.
6.In the top lid of the tube, cut a piece of string and thread through the hole there to form a loop for hanging. If your container doesn’t have a hole, use a drill to make a small hole first.
7.Fill the container with bird seed, put the lid on, and hang!
",Bird Feeders from Plastic Bottles,0,0,0,https://storage.googleapis.com/diy-image-bucket/Bird%20Feeders%20from%20Plastic%20Bottles,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1.FolkArt Outdoor Acrylic Paint
2.Paintbrush
3.Clear plastic tube (from tennis balls, badminton birdies, or similar)
4.String
5.Precision scrissors
6.Craft knife
7.Permanent marker
8.Popsicle sticks
9.Tape
10.Bird seed
",6dg7cdhYMC81XcNQ3Lxb
3,"1.Wash and clean the tin can and let it dry.
2.Poke two holes in the can, one on each side.
3.Use the wire to make a handle attaching it to the two holes
4.Make various holes around the can with a hammer and nails. You can choose to create a pattern of holes or just be random.
5.Paint the inside and outside of the cans in fun, vibrant colors.
6.Once all dry, you can put fairy lights or tea light candles in them to turn them into lanterns
",Tin Can Lantern,0,0,1,https://storage.googleapis.com/diy-image-bucket/Tin%20Can%20Lanterns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.Tin Can
2.Wire
3.Nail
4.Pliers
5.Lights
6.Paints
7.Hammer
",8wxfZTsePGkWOjRIomzJ
4,"1.If the box has an existing opening, you can use it as the entrance for your cat.If not, use a ruler and marker to draw a circular or oval shape on one side of the box. Ensure it's large enough for your cat to comfortably pass through. Cut out this shape using scissors.
2.Place the cardboard box inside the t-shirt. Ensure the hole in the box aligns with the neck hole of the t-shirt. Make sure the t-shirt is big enough to fully cover the box.
3.Use tape or glue to secure the sides and back of the t-shirt to the box. This will create a snug fit and prevent the t-shirt from slipping off.
4.For added comfort, place a soft blanket or cushion inside the box. This will provide a cozy spot for your cat to rest.
",Cozy DIY Cat Bed from Cardboard and Old Clothes,0,0,0,https://storage.googleapis.com/diy-image-bucket/Cozy%20DIY%20Cat%20Bed%20from%20Cardboard%20and%20Old%20Clothes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1.Cardboard
2.Old T-Shirt
3.Glue or Tape
",BqWASWCQ9kj2XqCOyBX0
5,"1.Ensure the DVDs are clean from dust or dirt.
2.Plan the design and layout of DVDs and straws according to creativity.
3.Arrange the DVDs on the floor according to the desired design as a guide.
4.Attach the DVDs and each straw end to the base board using a hot glue gun as planned.
5.Add paint, glitter, or stickers to enhance the appearance of the DVDs if needed.
6.Make sure the wall decoration is hung in a stable place.",Wall Decoration from DVD,0,0,0,https://storage.googleapis.com/diy-image-bucket/Wall%20Decoration%20from%20DVD,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"1.Used DVDs
2.Scissors or cutter
3.Hot glue gun
4.Straws
5.Paint, glitter, or stickers (optional)
6.Base board for attaching DVDs",FcyOPYQRBa8x3yipgAmg
6,"1.Cut a slit on the plastic bottle to insert coins and money.
2.Roll paper sheet into a long roll and cut into 4 pieces.
3.Attach the paper rolls as legs for the piggy bank
4.Cut two cardboard pieces in the shape of pig ears
5.Attach the ears near the top of the plastic bottle
6.You can paint the piggy bank and then add decorations such as drawing two holes on the bottle cap as the nose and then attaching googly eyes or using a marker manually draw the eyes
",Piggy bank from Plastic Bottle,0,0,0,https://storage.googleapis.com/diy-image-bucket/Piggy%20bank%20from%20Plastic%20Bottle,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"1.Plastic
2.Cardboard",FffBWRjhDzSlkAKGQCzK
7,"1.Draw a simple face on the white bottle cap using the black marker. You can draw eyes, a nose, and a mouth, or get creative with a different expression!
2.Starting with the head, hot glue the blue bottle caps together in a vertical stack to form the body. Make sure the caps are aligned so the robot stands upright.
3.For each arm and leg, stack 4-5 blue bottle caps vertically and hot glue them together. Attach the arms to the sides of the body, slightly below the head. Attach the legs to the bottom of the body.
4.To create hands, glue two bottle caps to the end of each arm. For feet, glue two bottle caps to the bottom of each leg. Use the small piece of cardboard to cut out a small rectangle. Glue this to the back of the robot's head as an antenna. Thread the string or twine through the antenna and tie a knot to secure it.
5.Once you've finished gluing everything together, let the robot sit for a few minutes for the glue to dry completely.
",Bottle Cap Robot,0,0,0,https://storage.googleapis.com/diy-image-bucket/Bottle%20cap%20Robot,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1.Approximately 50 blue bottle caps (from water bottles, soda bottles, etc.)
2.1 white bottle cap for the head
3.1 black marker
4.1 small piece of string or twine
5.1 small piece of cardboard
6.Scissors
7.Hot glue gun and glue sticks
",HPa9kgO4uCDqwlhTMSAO
8,"1. Soak jars in water to remove labels. If stubborn stickers remain, use additional sticker removal techniques.
2. Wash and dry jars thoroughly.
3. Prepare the Fabric
4.Cut oversized pieces of fabric from your fat quarters.
5.Wash and dry the fabric (without fabric softener).
6.Iron the fabric to remove wrinkles.
7.Lay the fabric on a covered work surface (preferably wax paper).
8. Apply Mod Podge to Fabric
9. Use a brush to apply a light coat of Mod Podge Gloss onto the fabric.
10.Allow the fabric to dry. This stiffens the fabric, preventing fraying and making it easier to cut.
11.Cut the Fabric
12.Use a cutting wheel and mat, or scissors, to trim the fabric to fit the jar. Leave about ½″ extra for overlapping at the back.
13.Apply Fabric to Jar
14.Paint a layer of Mod Podge on the jar in sections.
15.Smooth the fabric onto the jar, working in small sections and adding more Mod Podge as needed.
16.At the fabric's back seam, apply additional Mod Podge to secure the overlap.
17.Smooth the fabric with your fingers to remove bubbles or wrinkles.
18.Let the jar dry for about an hour.
19.Apply a thin line of craft glue to the jar’s top and bottom ridges.
20.Attach the ribbon, ensuring the seam aligns with the fabric seam at the back of the jar.
21.Use a cotton swab to clean any excess glue.
22.Plan your decorations using felt flowers, buttons, chipboard letters, and scrapbook paper.
23.Use craft glue or additional Mod Podge to attach embellishments.
24.Let everything dry completely.
",Decorated glass jar,1,0,0,https://storage.googleapis.com/diy-image-bucket/Decorated%20glass%20jar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1.Pickle Jars – 3 large, recycled
2.Mod Podge Gloss
3.Fabric Scraps – 3 fat quarters or any suitable fabric
4.Ribbon – Approximately 20″ per jar
5.Felt Flowers
6.Buttons
7.Craft Glue
8.Chipboard Letters
9.Scrapbook Paper
10.Flat Paint Brush
11.Scissors or Cutting Mat with Rotary Cutter
12.Tape Measure
13.Pencil
14.Wax Paper (or similar table protection)
",LDomjoIgFCna6XM491Og
9,"1.Rinse the bottle thoroughly to remove any residue and let it dry completely.
2.Measure the bottle to cut the middle portion out. The bottom section should measure about 3.5 inches, and the top should measure about 5 inches.
3.Use an Exacto knife to make the initial cut.
4.Switch to sharp scissors for better control to ensure a clean, straight edge.
5.Ensure the top part fits securely over the bottom by aligning the cut edges.
6.Add a layer of small pebbles at the bottom of the bottle base. This will help with drainage.
7.Add a thin layer of charcoal on top of the pebbles. The charcoal prevents odor and mold by filtering the water.
8.Add a layer of potting soil suitable for the plants you are using. The thickness of the soil layer depends on the size of the plants but should be at least 1-2 inches.
9.Choose small, humidity-loving plants such as ferns, mosses, or tropical varieties like the Umbrella plant.
10.Remove the plants from their pots.
11.Split larger plants to create smaller sections with attached roots, if necessary.
12.Make small impressions in the soil.
13.Gently place the plant roots into the soil and tamp down to secure.
14.Place decorative stones or moss around the plants for added visual appeal.
15.Ensure there’s enough space for air circulation inside the terrarium.
",Plastic Bottle Terrarium,0,0,0,https://storage.googleapis.com/diy-image-bucket/Plastic%20Bottle%20Terrarium,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1.Empty Plastic Bottle
2.Knife
3.Scissors
4.Small pebbles
5.Charcoal
6.Potting soil
7.Terrarium happy plants
",OFmK7xwcrfL7yA9uQ6Wb
